id,c0
257409,COR Redding Airport
257410,COR Fire Station 7 Redding
257411,Commercial Landscapeserv
257513,Red Bluff CC - Call In Only
257727,Bella Vista Ele Main
257728,Bella Vista Elem Kitchen
261201,Value Inn & Suites
261216,Crossland 6 Gas Station
261258,Kaleidoscope Coffee
261278,Crossland 6 - D/S
261699,Bell Automotive Service
261874,Five Guys Burgers
261906,Covered Up - Catering
262225,Apogee Surgery Center
262271,Nor Cal Rewinding
262451,Nuclear Medicine Assc
262472,Norms Automotive
262746,The Habit #92
262786,Roto Rooter
263775,Market Street  - D/S
263995,Azbill Parts Distribution
264236,Anderson Automotive
264305,Shasta Cosmetology - D/S
264538,View 202
264713,"Cascade Paint Supply, Inc"
264717,Cardan Aircraft Services
264798,"Angelos Classic Import Serv, Inc"
265008,Taj Mahal
265021,APEX Automotive
265377,Geris Weddings - Catering
265576,Nor-Cal Granite & Tile
265578,Big Valley Sanitation
265609,Einstein Bro's Bagels
265871,Rich's Mobile Auto
265978,Lassen Municipal Utility
266010,Lassen Municipal Service
266273,Applebee's #9970
266275,Logan's Steakhouse #888
266285,Applebee's #8912
266628,RTA Construction
266660,Aaron Bjarnason DMD Inc
266685,Panda Express #1253 - D/S
266971,Northern CA Charging System
267378,Cafe Pagato
267501,Buds Garage
267518,Institute Of Tech - D/S
268330,Fearless 4 Wheel Drive
268434,Shingletown Medical Center
268499,Foothill H/S Nutrition Services
268653,View 202 - Janitorial
268784,Prestige Urgent Care
268785,Showboat Lounge
268929,Superior Calif Investments
269430,Carmona's Appliance & Mattress Center
269499,Hillside Church
270250,Red Bluff School Office - D/S
270498,Chuck E Cheese
270643,Co Co Mongolian Grill & Sushi
271035,COR REU
271040,Pit Stop Tire Depot
271451,California Welcome Center DS
271698,Steve Manning Construction
271765,COR Electric Utility
272039,Dr. Holpuch
272233,Tehama County Dept of Ed - DS
272271,Highland Ranch Resort
272957,G&R Auto Parts LLC
272996,Torr Industries - D/S
273027,Karline's
273300,Logan's Steakhouse - D/S
273691,FN - IPS Oak Mesa
273693,FN - North Valley Services
273694,FN - North Valley Services
273695,FN - NORCAL Residential
273930,Vibra Hospital of Northern Calif
274083,Alpine Beverage
274314,Shasta Lake Pizza Factory
274371,The Dip
274378,Kaleidoscope Coffee
274672,Disappearing Act
274895,250 Hemsted LP
274936,OBSIDIAN
274952,Vibra - Housekeeping
274954,Vibra - Dietary
275540,Golden Rule Small Engine
275549,SCOE Transportation Bus Maintenance
275550,SCOE Transportation Office
276258,Kaleidoscope Coffee
276430,SNL Group
276615,Wienerschnitzel
276771,Labcorp - CAB050
276959,Munchkin University
277399,RCC - Facility Services
277484,Wings & Wheels
277795,Shasta Pathology Associates
277796,USA Tires
277874,Sundial Lodge
278085,TLC Dermatology Medical Center
278132,Nello's Place
278198,Shasta Ortho SOSM
278200,Shasta Ortho LPT
278202,Shasta Ortho Mats
278326,Muse Concrete Contractors Inc
278780,Fusion Lounge
278815,RCC - Maintenance
278957,Institute Of Tech - NHI
279032,BLVD Body Shop
279039,COR Elect. Tech BLD 3
279042,COR Elect. Tech C.Creek
279145,Lake Redding Golf
279241,Kirk Taylor's GM Speciality
279524,Shasta Ortho LPT - COG Hot Pads
279597,Lassen Union HS District - D/S
279644,7 Eleven
279814,Rocky Point Charter School
280003,Shasta Lanes
280206,Spectrum Prosthetics
280322,V F W Post 9650
280562,MD Imaging - D/S
280564,Wellness One Chiropractic DS
280879,North Cow Creek School
280880,North Cow Creek School - D/S
280882,Junction Elementary School
280974,Salon 705
281062,LC-POA-Maintenance
281064,LC-POA-Main Office
281066,LC-POA-Lake Club
281067,LC-POA-Lake Club Linen
282015,Jack's Grill
282016,Jack's Grill - D/S
282117,Surgery Center of Northern California
282183,Ravizza Redding Mall LLC
282978,Spirit Gas
282984,Superior Auto Body
283612,Oasis Shell
283613,Shasta Lake Shell
283647,Torr Industries
283677,Dr. Kahn - Cardiovascular Surgical Center
283743,SRMC - Dietary
283880,Tracy Wilder / Leo Jones Propane
284030,Premier Towing
284610,Fast Track Food & Fuel
284916,Boba Tea and Coffee
285028,Surgery Center of Northern Ca - D/S
285029,Auto World
285120,Jersey Mike's Subs Store # 20111
285128,Simpson U Nursing
285213,Cornerstone Community Bank
285331,Dr. Parvin Carter DDS
285358,Xtreme Cycle & Motor Sports
285622,Giouann's Hair Affair
285666,Tea For You
285690,Grocery Outlet
285917,Applebee's Janitorial
285936,Post Office Saloon
285938,Post Office Saloon D/S
286380,Reliable R.V.
286457,Maruti Oil
286612,Enterprise H.S. Kitchen - Summer Hold
286766,Shasta Eye Medical Group Store # 900 D/S
286767,Shasta Eye Medical Group Store # 3190 D/S
287458,A-1 Smog & Auto Repair
287563,AV - Sheraton @ Sundial Bridge
287627,Grant School DS
287888,Sunshine Food & Gas
288140,Holiday Mkt #64 Grocery
288141,Holiday Mkt #64 Linen
288143,Fratelli's Pizza
288196,Gold Hills Golf Club
288386,California Highway Patrol
288421,Shasta Baptist
288459,AV - Sheraton House Keeping
288469,Rocha's Auto Service
288480,Kuper's Automotive Repair
288482,Kuper's Auto D/S
288806,Harvey's Market
289017,Panda Express D/S
289385,Red Lion Hotel - Catering
289386,Red Lion Hotel
289444,Super 8
290005,Black Rose Coffee & Tea
290083,Susanville Chevron
290501,Mosaic D/S
290503,Chrysalis Charter School D/S
290869,Hill Country Health & Wellness Center
290880,Lassen View Elem School
290893,Bella Vista School / Supplies
290906,Ridgeview Residential Center
291124,SC-Facilities - Maintenance
291128,SC-Fleet Management
291130,SC-Corp Yard - Roads
291132,SC-Corp Yard - Shop
291133,SC-Shasta County Fire
291135,SC-Sheriff / Coronor's Office
291360,Sierra Pacific Industries
291361,Jersey Mike's Subs D/S
291365,SC-AG Dept
291461,Prestige Urgent Care Central
291462,Shasta Lake City Community Center
292663,Panda Express DS # 3022
292679,Panda Express # 3022
292840,Green Barn Whiskey Kitchen
292921,Tom's Automotive
292922,Good Health Massage Healing Arts
293030,Fresh Fire Grill - RDG
293115,California Highway Patrol
293300,Cedar Creek
293382,Kilby Equipment Repair
293733,Fyzical Therapy & Balance Center
293876,Cinders & Taste and See
294022,Lakehead Shell
294024,Lakehead Shell D/S
294158,Old Station Fill - Up
294319,Kiwanis House
294387,Riddick's Sports Pub
294475,Umpqua Bank
294476,Umpqua Bank
294602,Shasta Orthodontics
294605,Shasta Orthodontics D/S
294689,Cinemark Redding 14
294766,Maruti Shingletown
294790,Las Maria's
294828,Spec-Rite
294885,Pampered Pets
294967,7 Eleven
295019,Maruti Shingletown D/S
295027,California Dept. of Forestry & Fire Protection
295194,Big O Tires
295258,Grocery Outlet
295355,Cafe Pagato At Mercy
295409,BARTEL'S
295412,Bartel's Giant Burger
295449,MPI Equipment
295559,Country Waffles
295660,Poppies Pizza
