id,RouteNumber,ServiceDay,item_id,description,total_quantity
108,09,Friday,74000304,Mat-Graphic-3x4,3
109,09,Friday,74000310,Mat-Graphic-3x10    ,4
110,09,Friday,74000406,Mat-Graphic-4x6,11
111,09,Friday,74880406,Mat-Logo-4x6        ,2
112,09,Friday,76000000,Mat-Custom-Logo     ,3
113,09,Friday,76000310,Mat-Custom-Logo-3x10,3
114,09,Friday,76000406,Mat-Custom-Logo-4x6 ,1
115,09,Friday,76060304,MAT-NY/RB-CH RED-3X4,3
116,09,Friday,76060310,MAT-NY/RB-CH RED3X10,1
117,09,Friday,76070304,MAT-NY/RB-HNYCMB-3X4,4
118,09,Friday,76070310,MAT-NY/RB-HNYCMB3X10,1
119,09,Friday,76070406,MAT-NY/RB-HNYCMB-4X6,1
120,09,Friday,76080304,MAT-NY/RB-OX GRY-3X4,81
121,09,Friday,76080310,MAT-NY/RB-OX GRY3X10,36
122,09,Friday,76080406,MAT-NY/RB-OX GRY-4X6,32
123,09,Friday,76120304,MAT-COFFEE,1
124,09,Friday,76140304,MAT-NYL/RUBR-SAFETY,1
125,09,Friday,76280310,MAT-OXF GRY-MHL-3X10,6
126,09,Friday,76280406,MAT-OXF GRY-MHL-4X6,17
127,09,Friday,80101100,TOWEL-ROLL-BLUE-LRG,7
128,09,Friday,80121100,TOWEL-ROLL-WHITE-LRG,2
129,09,Friday,86940305,Mat-Kleen-Scrape-3x5,3
130,09,Friday,86954048,MAT-CMPLTCMFT-3X5,1
131,09,Friday,86970305,MAT-SUPERSCRAPE PLUS,1
132,09,Friday,87399023,MOP-WET-TUBE-MF-BL-L,193
133,09,Friday,94020000,BLANKET-BATH,31
134,09,Friday,95150000,Gown-Patient-Print,70
135,09,Friday,95170000,Plus Gown,2
136,11,Tuesday,1500000,APRON-BIB-SPUN-WHITE,180
137,11,Tuesday,1640000,APRON-BIB-POLY-BLACK,103
138,11,Tuesday,7244000,Hyperbaric-Pat-Gown,50
139,11,Tuesday,7244234,Hyperbaric-Plw Slip,100
140,11,Tuesday,7246604,Hyperbaric-Twin Sht,275
141,11,Tuesday,7247090,Hyperbaric-Bath Blnk,100
142,11,Tuesday,11100000,GRILL-PAD,160
143,11,Tuesday,11281619,TOWEL-BARMOP-BLSTR,1280
144,11,Tuesday,11421836,TOWEL-DISH,100
145,11,Tuesday,11601837,TOWEL-FACE,1425
146,11,Tuesday,11720000,Towel-Kitchen,650
147,11,Tuesday,11920000,Towel-Steam-Bar,20
148,11,Tuesday,12221818,Towel-Shop-Blue,50
149,11,Tuesday,12240000,Towel-Shop-Dyed,600
150,11,Tuesday,12940000,COVER-FENDER-AUTO,5
151,11,Tuesday,14200002,Twl-Micro-Grn-15x16 ,100
152,11,Tuesday,14200003,TWL-MICRO-YLW-15X16,800
153,11,Tuesday,14200006,TWL-MICRO-GRN-15X25,50
154,11,Tuesday,40304234,SLIP-P-42X36,760
155,11,Tuesday,40766604,Sheet-72-Single-D/C,20
156,11,Tuesday,40766615,SHEET-SNGL-DC-66X115,900
157,11,Tuesday,41082030,BATH MAT-WHITE,60
158,11,Tuesday,41340000,Towel-Bath-Jumbo,820
159,11,Tuesday,41820000,WASH CLOTH,1475
160,11,Tuesday,42202754,BTH TWL-B/LINEA ROMA,160
161,11,Tuesday,44300000,LNDRY BG-BIO HAZ-YLW,93
162,11,Tuesday,44320000,LAUNDRY BAG-PVC-LG,5
163,11,Tuesday,52166161,Cloth-V-Black-61x61,15
164,11,Tuesday,52365252,Cloth-P-Burgndy52x52,10
165,11,Tuesday,53505212,Cloth-P-White-54x120,10
166,11,Tuesday,53508585,Cloth-P-White-85x85 ,30
167,11,Tuesday,56102020,NAPKIN-BLK SPUN POLY,500
168,11,Tuesday,56108585,Cl-Caravel-Blk-85x85,10
169,11,Tuesday,56252020,Napkin-Caravl-Forgrn,600
170,11,Tuesday,56432020,Napkin-Caravl-Maroon,200
171,11,Tuesday,56702020,Napkin-Crvl-Royalblu,300
172,11,Tuesday,56905212,Cl-Caravel-Wht-52120,10
173,11,Tuesday,56906161,CL-WHT-SPUN-62X62,15
174,11,Tuesday,56908585,CL-WHT-SPUN-85X85,20
175,11,Tuesday,70542400,Dust Mop-24         ,1
176,11,Tuesday,70622400,Dust Mop-24 Untreate,23
177,11,Tuesday,70623600,Dust Mop-36 Untreate,21
178,11,Tuesday,70701800,"MICRO F MOP-18""",1670
179,11,Tuesday,70742400,WET MOP-LARGE,15
180,11,Tuesday,74000000,Mat-Custom-Graphic  ,3
181,11,Tuesday,74000406,Mat-Graphic-4x6,2
182,11,Tuesday,74000510,Mat-Graphic-5x10,1
183,11,Tuesday,74880406,Mat-Logo-4x6        ,3
184,11,Tuesday,76000000,Mat-Custom-Logo     ,1
185,11,Tuesday,76000406,Mat-Custom-Logo-4x6 ,1
186,11,Tuesday,76080304,MAT-NY/RB-OX GRY-3X4,51
187,11,Tuesday,76080310,MAT-NY/RB-OX GRY3X10,25
188,11,Tuesday,76080406,MAT-NY/RB-OX GRY-4X6,27
189,11,Tuesday,76280310,MAT-OXF GRY-MHL-3X10,8
190,11,Tuesday,76280406,MAT-OXF GRY-MHL-4X6,8
191,11,Tuesday,80580001,R3 ECO REFL MANGO EA,2
192,11,Tuesday,86940305,Mat-Kleen-Scrape-3x5,4
193,11,Tuesday,86990305,Mat-Comfort-Flow-Blk,1
194,11,Tuesday,87392024,MOP-WET-TUBE-MF-GR-M,5
195,11,Tuesday,87399022,Mop-Wet-Tube-Mf-Bl-M,1
196,11,Tuesday,87399023,MOP-WET-TUBE-MF-BL-L,21
197,11,Tuesday,87399025,MOP-WET-TUBE-MF-GR-L,335
198,11,Tuesday,87399043,Mop-Dust-Mf-Vcgry-18,1
199,11,Tuesday,94020000,BLANKET-BATH,923
200,11,Tuesday,94030000,Hosp-Blkt-Flnhb-Sand,35
201,11,Tuesday,94066690,Blanket-Thermal-Wht,70
202,11,Tuesday,94650000,Towel-Surgical      ,600
203,11,Tuesday,94740000,Sheet-Draw - Hosp,80
204,11,Tuesday,94778237,Sht-Knit-Contour-Wh,25
205,11,Tuesday,94790000,Sheet-Semi Fit Top,235
206,11,Tuesday,94890000,Cape-Mammography,30
207,11,Tuesday,94910000,Pad-Incont-Hospital,100
208,11,Tuesday,95060000,Gown-Infant,10
209,11,Tuesday,95120000,GOWN-IV-PRINT,210
210,11,Tuesday,95150000,Gown-Patient-Print,481
211,11,Tuesday,95170000,Plus Gown,20
212,11,Tuesday,96310000,Lab Coat-Pressed-Cog,3
213,11,Tuesday,97210406,Logo Mat         Cog,2
214,11,Tuesday,99860000,Laundrybag-Biohazard,15
215,12,Monday,1500000,APRON-BIB-SPUN-WHITE,34
216,12,Monday,1640000,APRON-BIB-POLY-BLACK,1066
217,12,Monday,1820000,Apron-Bib-P-Forstgrn,5
218,12,Monday,1900000,APRON-BIB-POLY-RED,350
219,12,Monday,2410000,APRN-BISTRO-SPUN-BLK,5
220,12,Monday,2600000,APRON-4WAY-DC-WHITE,30
221,12,Monday,11100000,GRILL-PAD,246
222,12,Monday,11281619,TOWEL-BARMOP-BLSTR,7753
223,12,Monday,11601837,TOWEL-FACE,486
224,12,Monday,11641629,TOWEL-GLASS,150
225,12,Monday,11720000,Towel-Kitchen,3090
226,12,Monday,12240000,Towel-Shop-Dyed,183
227,12,Monday,12301818,TOWEL-SHOP-WHITE,10
228,12,Monday,12940000,COVER-FENDER-AUTO,3
229,12,Monday,14200002,Twl-Micro-Grn-15x16 ,50
230,12,Monday,14200006,TWL-MICRO-GRN-15X25,100
231,12,Monday,14573600,SHORTS-MEN-CARGO-BLK,11
232,12,Monday,14573800,SHORTS-MEN-CARGO-BLK,11
233,12,Monday,14574200,SHORTS-MEN-CARGO-BLK,5
234,12,Monday,17582000,Ct-Lab-Pop-W/Knit Cf,18
235,12,Monday,17585000,Ct-Lab-Pop-W/Knit Cf,18
236,12,Monday,21023634,Pant-Ind-Black-Flex,11
237,12,Monday,21023830,Pant-Ind-Black-Flex,22
238,12,Monday,21024031,Men Twill Pants 840P,11
239,12,Monday,21024032,Pant-Ind-Black-Flex,11
240,12,Monday,21024034,Pant-Ind-Black-Flex,11
241,12,Monday,21694233,PANT-FLEX-CARGO-BLK,11
242,12,Monday,22982000,CT CHEF WK BLK CV MD,33
243,12,Monday,22983000,CT CHEF WK CV BLK LG,44
244,12,Monday,22984000,CT CHEF WK BLK CV XL,55
245,12,Monday,31174000,Shirt-Wht-Dc-Grpr-Ss,12
246,12,Monday,31794000,Sh-Motosp Sil/Blk-Ss,22
247,12,Monday,31795000,Sh-Motosp Sil/Blk-Ss,22
